,機關名稱,機關地址,Longitude,Latitude,類型
0,士林官邸_士林官邸公園,,121.5298,25.09463,公共活動空間
1,二二八和平公園,,121.51516,25.04132,公共活動空間
2,陽明山國家公園,,121.54762,25.15574,公共活動空間
3,大安森林公園,,121.5349,25.03244,公共活動空間
4,關渡自然公園,,121.4708,25.1189,公共活動空間
5,大湖公園,,121.60445,25.08228,公共活動空間
6,碧湖公園,,121.58301,25.08263,公共活動空間
7,北投公園,,121.50628,25.13631,公共活動空間
8,社子島島頭濕地,,121.46606,25.10985,公共活動空間
9,和平青草園_萬華402號公園,,121.49721,25.03271,公共活動空間
10,馬場町河濱公園,,121.50391,25.01886,公共活動空間
11,臺北市立動物園,,121.58106,24.99886,公共活動空間
12,臺北市客家文化主題公園,,121.52535,25.02026,公共活動空間
13,華中河濱公園,,121.49476,25.0154,公共活動空間
14,新生公園_玫瑰園,,121.5291,25.06844,公共活動空間
15,艋舺公園,,121.49991,25.03602,公共活動空間
16,大佳河濱公園,,121.54089,25.07464,公共活動空間
17,迎風河濱公園,,121.54574,25.07435,公共活動空間
18,富陽自然生態公園,,121.5575,25.01672,公共活動空間
19,圓山水神社,,121.52722,25.08435,公共活動空間
20,延平河濱公園,,121.50707,25.05412,公共活動空間
21,花博公園,,121.52123,25.06986,公共活動空間
22,臺北小巨蛋,,121.54974,25.05139,公共活動空間
23,華江雁鴨自然公園,,121.49522,25.03871,公共活動空間
24,南港公園,,121.59213,25.0457,公共活動空間
25,興隆公園,,121.5511,25.00016,公共活動空間
26,仙岩公園,,121.54968,24.99803,公共活動空間
27,青年公園,,121.50703,25.02227,公共活動空間
28,臺北市立兒童新樂園,,121.51494,25.09724,公共活動空間
29,迪化運動公園跨堤景觀平臺,,121.50879,25.0753,公共活動空間
30,蔣渭水紀念公園,,121.51674,25.05995,公共活動空間
31,富民生態公園,,121.56422,25.06011,公共活動空間
32,象山公園,,121.57011,25.03042,公共活動空間
33,山水綠生態公園,,121.62131,25.0296,公共活動空間
34,芝山公園,,121.53188,25.10435,公共活動空間
35,古亭河濱公園,,121.52256,25.02015,公共活動空間
36,榮星花園公園,,121.53886,25.06337,公共活動空間
37,140高地公園,,121.56661,25.00429,公共活動空間
38,福州山公園,,121.55484,25.01601,公共活動空間
39,遼寧公園,,121.54224,25.05366,公共活動空間
40,敦安公園,,121.55382,25.03449,公共活動空間
41,陽明公園,,121.54013,25.15921,公共活動空間
42,三重世貿公園,,121.61528,25.05791,公共活動空間
43,大臺北都會公園_幸福水漾公園,,121.47858,25.06062,公共活動空間
44,關渡水岸公園,,121.46322,25.11735,公共活動空間
45,捷運中山站街區_心中山線形公園,,121.5206,25.05582,公共活動空間
46,福林公園,,121.52904,25.09481,公共活動空間
47,志成公園,,121.53086,25.09661,公共活動空間
48,雙溪公園,,121.5361,25.0985,公共活動空間
49,逸仙公園,,121.52007,25.04774,公共活動空間
50,彩虹河濱公園,,121.57231,25.05996,公共活動空間
51,臺北典藏植物園_天使館,,121.53162,25.07137,公共活動空間
52,洲美蜆仔港公園,,121.5112,25.101,公共活動空間
53,陽明山40砲陣地紀念公園,,121.54149,25.15428,公共活動空間
54,原住民文化主題公園,,121.55077,25.1016,公共活動空間
55,樂活公園,,121.61888,25.06829,公共活動空間
56,新新公園,,121.5903,25.05136,公共活動空間
57,美堤河濱公園,,121.56087,25.07538,公共活動空間
58,林森_康樂公園,,121.52493,25.05309,公共活動空間
59,前山公園,,121.54818,25.15068,公共活動空間
60,公館水岸廣場,,121.5284,25.01125,公共活動空間
61,圓山自然景觀公園,,121.5223,25.07499,公共活動空間
62,北投社三層崎公園,,121.49199,25.14462,公共活動空間
63,中央藝文公園_華山大草原遊戲場,,121.52683,25.04612,公共活動空間
64,花博公園_花之隧道,,121.52485,25.07259,公共活動空間
65,成美右岸河濱公園,,121.58601,25.05559,公共活動空間
66,永春陂生態濕地公園,,121.58007,25.03253,公共活動空間
67,湖山六號公園,,121.60199,25.0831,公共活動空間
68,松錦公園,,121.53211,25.05962,公共活動空間
69,麗山農民廣場_麗山公園,,121.59585,25.02242,公共活動空間
70,大稻埕公園,,121.51035,25.05861,公共活動空間
71,天狗庵史蹟公園,,121.50656,25.13583,公共活動空間
72,中正河濱公園,,121.51313,25.0234,公共活動空間
73,福安河濱公園,,121.49359,25.09615,公共活動空間
74,臺北市電影主題公園,,121.50319,25.04472,公共活動空間
75,十分瀑布公園,新北市226平溪區乾坑10號,121.78746,25.04897,公共活動空間
